"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",192,"GmWMC192","D1",21,NA,0.057505287,0.141886195,0.213432242,0.290153226,0.315104214,0.335060955,0.325121968,0.33130137,0.193469782,0.238139688,0.28269375,0.346634907,0.334715899,0.32153632,0.368353671,0.35676459
NA,2017,"Tottori","Jul",106,"GmJMC106","D1",22,NA,0.044711862,0.108087608,0.224232817,0.316050862,0.349892605,0.391990971,0.390016323,0.500933545,0.44553898,0.558758973,0.5438875,0.60776001,0.586200505,0.52065917,0.581710079,0.566778139
NA,2017,"Tottori","Jul",184,"GmJMC184","D1",23,NA,0.05848216,0.142130293,0.227797874,0.318350609,0.355337792,0.406264373,0.400433175,0.510849845,0.446466349,0.54947319,0.54139375,0.622790824,0.580686939,0.512201366,0.611653061,0.612753448
NA,2017,"Tottori","Jul",171,"GmWMC171","D1",24,NA,0.062939598,0.140671661,0.25050884,0.388305949,0.431776704,0.485680109,0.49366607,0.539978531,0.508476423,0.588921113,0.5527,0.617912866,0.595107036,0.562828358,0.610668951,0.605994152
NA,2017,"Tottori","Jul",124,"GmWMC124","D1",25,NA,0.06959681,0.176506379,0.258463569,0.325068587,0.372894854,0.410321454,0.369915812,0.438726764,0.376027521,0.4721494,0.47658125,0.482723753,0.489312533,0.413963034,0.455888772,0.419102233
NA,2017,"Tottori","Jul",227,"Tachiutaka","D1",26,NA,0.039357148,0.087160704,0.170552351,0.250258856,0.27351884,0.31205992,0.245909629,0.310306759,0.272625878,0.32981181,0.28039375,0.272230616,0.326648184,0.313258258,0.316897763,0.285619118
NA,2017,"Tottori","Jul",39,"GmJMC039","D1",27,NA,0.066962869,0.146768147,0.281738744,0.368225651,0.409398778,0.445919074,0.372661821,0.414360184,0.384013199,0.460452245,0.42724375,0.411689045,0.375374917,0.367340267,0.397486209,0.357118978
NA,2017,"Tottori","Jul",40,"GmJMC040","D1",28,NA,0.064119082,0.137546021,0.251135051,0.338147687,0.364898085,0.40120938,0.353294501,0.434520713,0.329370557,0.416661188,0.39495625,0.442544553,0.427042219,0.411207008,0.435258651,0.391287128
NA,2017,"Tottori","Jul",15,"GmWMC015","D1",29,NA,0.038524996,0.114404378,0.199990426,0.321279104,0.343356209,0.372302674,0.388736697,0.481336199,0.378088341,0.442000583,0.412575,0.497410551,0.463045337,0.341457592,0.406082696,0.3547247
NA,2017,"Tottori","Jul",95,"GmJMC095","D1",30,NA,0.069119227,0.14356511,0.248686011,0.365676671,0.390310766,0.44027515,0.458943232,0.535095234,0.517688288,0.595369203,0.592775,0.617842299,0.596040101,0.532671846,0.578605792,0.549274849
NA,2017,"Tottori","Jul",173,"GmWMC173","D1",31,NA,0.031549396,0.113701853,0.205111708,0.312589914,0.347514747,0.384473918,0.36699688,0.445449317,0.421324345,0.485338675,0.49865,0.532358957,0.5325257,0.467555749,0.514132141,0.50231417
NA,2017,"Tottori","Jul",187,"GmWMC187","D1",32,NA,0.028958872,0.069710702,0.142695302,0.255175556,0.275435242,0.332557997,0.365848675,0.421973849,0.361828472,0.477771495,0.51290625,0.518501323,0.512083092,0.515127147,0.523488418,0.522678492
NA,2017,"Tottori","Jul",117,"GmJMC117","D1",33,NA,0.0361805,0.066108774,0.136588203,0.210783653,0.220673927,0.252168888,0.220586858,0.292177967,0.256809084,0.333928463,0.32845625,0.3400898,0.359437411,0.359881024,0.409461955,0.380767867
NA,2017,"Tottori","Jul",31,"GmJMC031","D1",34,NA,0.069517213,0.140826454,0.260776206,0.372253039,0.387096857,0.427457716,0.36282599,0.455465421,0.352863905,0.45685517,0.4521375,0.486393247,0.498991906,0.380091878,0.439209562,0.434410049
NA,2017,"Tottori","Jul",79,"GmJMC079","D1",35,NA,0.096572991,0.198540653,0.274218023,0.35459144,0.383866661,0.430615042,0.374342628,0.469430936,0.388423354,0.407841693,0.40754375,0.404544116,0.404931404,0.36606211,0.415388321,0.355502624
NA,2017,"Tottori","Jul",55,"GmJMC055","D1",36,NA,0.066760259,0.14541668,0.242919918,0.345907915,0.379262954,0.426885144,0.407426161,0.497910892,0.419098659,0.47555996,0.4384375,0.462453324,0.423847178,0.424507827,0.442755251,0.353298506
NA,2017,"Tottori","Jul",35,"GmWMC035","D1",37,NA,0.056846802,0.135170534,0.207852152,0.289552799,0.324952238,0.362618027,0.343624675,0.365327609,0.339561311,0.362305388,0.33294375,0.355491091,0.358994441,0.307985861,0.354880052,0.256758138
NA,2017,"Tottori","Jul",109,"GmWMC109","D1",38,NA,0.057230315,0.148726882,0.223544606,0.324632428,0.3528785,0.382330863,0.354691715,0.422301778,0.283919171,0.384180933,0.417175,0.424144156,0.427343816,0.413723379,0.453291012,0.432689972
NA,2017,"Tottori","Jul",56,"GmJMC056","D1",39,NA,0.035543723,0.075307086,0.129867295,0.189236275,0.216222229,0.237298376,0.249866096,0.298223274,0.253326299,0.304059418,0.2815625,0.313750592,0.294113429,0.247363283,0.279342404,0.2596451
NA,2017,"Tottori","Jul",98,"GmJMC098","D1",40,NA,0.05367739,0.147607605,0.223569406,0.340192535,0.354425737,0.399638897,0.35383402,0.447637889,0.354955637,0.478890585,0.4733125,0.503946838,0.512686285,0.46782536,0.509624051,0.499435852
NA,2017,"Tottori","Jul",111,"GmJMC111","D1",41,NA,0.061535794,0.11184433,0.188557441,0.284273578,0.287503686,0.33680321,0.333200907,0.431091712,0.326938789,0.393520005,0.43119375,0.445146719,0.446749685,0.385653858,0.444680053,0.407623532
NA,2017,"Tottori","Jul",1138,"Nagoyadai5","D1",42,NA,0.000716374,0.00678115,0.01054637,0.024317269,0.019511467,0.028105106,0.021269468,0.046002792,0.009840416,0.020183588,0.02188125,0.034533824,0.01086691,0.035299096,0.061347656,0.047479295
NA,2017,"Tottori","Jul",1136,"Nagoyadai3","D1",43,NA,0.014486672,0.040424944,0.070774142,0.127760542,0.126601948,0.146668408,0.130176058,0.19008499,0.119362694,0.187460898,0.19676875,0.162824993,0.186490496,0.115703147,0.150793088,0.118667984
NA,2017,"Tottori","Jul",78,"GmJMC078","D1",44,NA,0.075964578,0.170909995,0.223656207,0.355548724,0.3734106,0.394412132,0.408138601,0.491345175,0.367701809,0.501059225,0.48933125,0.473991062,0.473469276,0.412954488,0.46741588,0.439518416
NA,2017,"Tottori","Jul",132,"GmWMC132","D1",45,NA,0.03937162,0.121649909,0.197894792,0.31989699,0.338736216,0.388383767,0.381951218,0.458737586,0.314285354,0.442586773,0.41411875,0.404464728,0.391434947,0.287185856,0.315059794,0.267242825
