"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20170726","CanopyArea_20170802","CanopyArea_20170809","CanopyArea_20170812","CanopyArea_20170813","CanopyArea_20170814","CanopyArea_20170819","CanopyArea_20170829","CanopyArea_20170904","CanopyArea_20170905","CanopyArea_20170909","CanopyArea_20170910","CanopyArea_20170911","CanopyArea_20170919","CanopyArea_20170920","CanopyArea_20170921"
NA,2017,"Tottori","Jul",181,"GmWMC181","C1",20,NA,0.050602047,0.088768176,0.162027213,0.261751924,0.285359271,0.356646919,0.45986318,0.668733593,0.739875596,0.773251223,0.9106125,0.783745786,0.867005976,0.626536486,0.668999153,0.635754067
NA,2017,"Tottori","Jul",43,"GmJMC043","C1",21,NA,0.057396745,0.14303524,0.220177951,0.357214057,0.364566922,0.458605633,0.495215456,0.665611135,0.716567722,0.699817603,0.81293125,0.678186076,0.803416176,0.617479547,0.693544005,0.608120478
NA,2017,"Tottori","Jul",168,"GmWMC168","C1",22,NA,0.030456745,0.080718909,0.168562119,0.26330397,0.276694746,0.35418486,0.450885043,0.744314191,0.788006048,0.843074445,0.94795,0.891210811,0.934761582,0.92257957,0.959897609,0.988136352
NA,2017,"Tottori","Jul",95,"GmJMC095","C1",23,NA,0.055920581,0.085993798,0.135955793,0.213491236,0.225543651,0.309826889,0.410704771,0.66162608,0.727685846,0.745980065,0.8586875,0.704207731,0.849862083,0.741191146,0.828490033,0.691807813
NA,2017,"Tottori","Jul",175,"GmWMC175","C1",24,NA,0.074647608,0.193700376,0.286711224,0.481927152,0.533986604,0.631023422,0.762422219,1.190176984,0.858681869,0.942260458,0.9654875,0.992951071,0.970538502,0.795772435,0.816861621,0.817407965
NA,2017,"Tottori","Jul",154,"GmWMC154","C1",25,NA,0.052143337,0.13068152,0.212868033,0.325663349,0.353269381,0.421478429,0.55395377,0.85307269,0.899764316,0.886838858,1.0253,0.885159673,0.989699324,0.93599023,0.991128617,0.933431008
NA,2017,"Tottori","Jul",176,"GmWMC176","C1",26,NA,0.047056358,0.118649294,0.201906257,0.300762647,0.32390989,0.421380274,0.511103575,0.813428877,0.788758247,0.81118038,0.94346875,0.81553631,0.866657255,1.213859522,1.280218048,1.22878282
NA,2017,"Tottori","Jul",128,"GmJMC128","C1",27,NA,0.048554231,0.123060912,0.202358864,0.292787172,0.319843644,0.411065798,0.494420012,0.714743514,0.690962034,0.718482425,0.7207875,0.699162176,0.765122807,0.520778997,0.562910691,0.444652715
NA,2017,"Tottori","Jul",91,"GmJMC091","C1",28,NA,0.101688913,0.224248298,0.277510276,0.381338737,0.423019888,0.498873804,0.593878117,0.861499049,0.795321959,0.825768518,0.895825,0.816480146,0.85858954,0.65214955,0.696250306,0.579726252
NA,2017,"Tottori","Jul",142,"GmWMC142","C1",29,NA,0.057715134,0.164640854,0.280938931,0.387881119,0.425359744,0.512762765,0.579497882,0.941570854,0.894838956,0.89873585,0.98003125,0.906700311,0.950736788,1.23880355,1.252482077,1.157023652
NA,2017,"Tottori","Jul",28,"GmJMC028","C1",30,NA,0.070067156,0.174392851,0.257490153,0.397119755,0.428611655,0.531984825,0.629154307,0.988272278,0.99474751,1.005928685,1.0712,0.977426287,1.043308155,0.948492202,0.974384282,0.814460497
NA,2017,"Tottori","Jul",125,"GmWMC125","C1",31,NA,0.068793603,0.160485242,0.241903102,0.351034197,0.375272713,0.461705702,0.528880008,0.811504074,0.850727104,0.85471831,0.94125625,0.841478576,0.905148546,0.747452117,0.776513127,0.682757964
NA,2017,"Tottori","Jul",52,"GmJMC052","C1",32,NA,0.021730008,0.109296189,0.23312996,0.311802562,0.304159551,0.375108276,0.4584798,0.599711584,0.547291967,0.558599103,0.5294,0.491968056,0.586181656,0.509864736,0.553880038,0.384441397
NA,2017,"Tottori","Jul",12,"GmWMC012","C1",33,NA,0.04818519,0.12011388,0.191093282,0.304812693,0.337096688,0.409577111,0.476124812,0.61891684,0.519264815,0.529023153,0.5381125,0.503417584,0.529132736,0.33510675,0.341124226,0.251615196
NA,2017,"Tottori","Jul",92,"GmJMC092","C1",34,NA,0.077115118,0.209614349,0.316335302,0.430330132,0.467406574,0.532565576,0.559528792,0.792876258,0.659699394,0.709263255,0.72476875,0.742684496,0.705359516,0.576338875,0.566731352,0.430338913
NA,2017,"Tottori","Jul",56,"GmJMC056","C1",35,NA,0.058634118,0.144071166,0.284162983,0.406398042,0.434225138,0.51265643,0.57845343,0.585375366,0.768520994,0.776941555,0.8763125,0.884162912,0.800258834,0.622582189,0.62187767,0.555947708
NA,2017,"Tottori","Jul",161,"GmJMC161","C1",36,NA,0.067331911,0.141064598,0.244376942,0.39061136,0.413997056,0.520680618,0.579954397,NA,0.917487368,0.97184973,1.14558125,1.1576902,1.164861091,1.00021761,1.024298899,1.155234427
NA,2017,"Tottori","Jul",59,"GmJMC059","C1",37,NA,0.06614519,0.200755392,0.281912347,0.427277021,0.452341377,0.511494927,0.5538431,NA,0.770592119,0.795433185,0.7984375,0.741467212,0.804349241,0.763598832,0.793141685,0.463150019
