"ID","year","place","sowing","varietyID","variety","block","plot","ind","CanopyArea_20180722","CanopyArea_20180723","CanopyArea_20180724","CanopyArea_20180725","CanopyArea_20180726","CanopyArea_20180727","CanopyArea_20180728","CanopyArea_20180731","CanopyArea_20180801","CanopyArea_20180802","CanopyArea_20180803","CanopyArea_20180804","CanopyArea_20180805","CanopyArea_20180807","CanopyArea_20180808","CanopyArea_20180809","CanopyArea_20180810","CanopyArea_20180812","CanopyArea_20180813","CanopyArea_20180814","CanopyArea_20180817","CanopyArea_20180818","CanopyArea_20180820","CanopyArea_20180825","CanopyArea_20180827","CanopyArea_20180828"
NA,2018,"Tottori","Jul",62,"GmJMC062","C2",72,0,0.01221,0.02363,0.02625,0.02495,0.0245,0.02631,0.05135,0.06624,0.06713,0.09175,0.10804,0.11707,0.1299,0.161,0.16494,0.24129,0.24762,0.29837,0.31706,0.27542,0.38615,0.39983,0.50174,0.50853,0.60923,0.65467
NA,2018,"Tottori","Jul",126,"GmJMC126","C2",73,0,0.00749,0.01876,0.02454,0.02592,0.02618,0.0296,0.05254,0.07481,0.07859,0.10595,0.13636,0.13707,0.17747,0.19881,0.2258,0.28668,0.30844,0.36004,0.3924,0.33363,0.44673,0.46245,0.56639,0.62301,0.71247,0.81219
NA,2018,"Tottori","Jul",156,"GmWMC156","C2",74,0,0.00222,0.00469,0.00527,0.00499,0.00533,0.00564,0.01315,0.01841,0.02538,0.0263,0.04332,0.04914,0.04761,0.07972,0.08989,0.1485,0.15226,0.18632,0.22474,0.19915,0.28399,0.28089,0.34047,0.41155,0.47809,0.53003
NA,2018,"Tottori","Jul",160,"GmWMC160","C2",75,0,0.00244,0.00703,0.00994,0.00718,0.00944,0.01005,0.02312,0.03288,0.03769,0.05134,0.07678,0.08078,0.09271,0.13663,0.14636,0.20497,0.20411,0.27788,0.30562,0.26332,0.40593,0.37764,0.44428,0.4282,0.51639,0.5469
NA,2018,"Tottori","Jul",97,"GmJMC097","C2",76,0,0.01656,0.02299,0.02373,0.02412,0.02227,0.02618,0.03958,0.05736,0.06523,0.0787,0.10933,0.10959,0.12181,0.16229,0.18857,0.24412,0.25848,0.34144,0.35499,0.33172,0.43167,0.43538,0.5243,0.46394,0.55215,0.5937
NA,2018,"Tottori","Jul",50,"GmJMC050","C2",77,0,0.00713,0.01445,0.01532,0.01572,0.01749,0.01786,0.03271,0.04585,0.03829,0.05391,0.06197,0.05842,0.06218,0.08434,0.10868,0.16859,0.16203,0.20629,0.22255,0.17475,0.27939,0.26887,0.33281,0.30082,0.36305,0.39126
NA,2018,"Tottori","Jul",35,"GmWMC035","C2",78,0,0.0161,0.02247,0.02819,0.03175,0.02794,0.03518,0.05328,0.0671,0.08074,0.103,0.12118,0.1247,0.14686,0.18665,0.21226,0.25897,0.2803,0.37493,0.39735,0.38371,0.48613,0.4661,0.5258,0.5051,0.54661,0.58942
NA,2018,"Tottori","Jul",30,"GmJMC030","C2",79,0,0.00721,0.00997,0.01183,0.00966,0.0092,0.01059,0.01743,0.0186,0.02367,0.03407,0.04924,0.04765,0.04338,0.04468,0.07109,0.1041,0.11,0.09996,0.16052,0.13634,0.22181,0.20624,0.28042,0.27533,0.28032,0.31047
NA,2018,"Tottori","Jul",144,"GmWMC144","C2",80,0,0.00382,0.00641,0.00709,0.00632,0.00718,0.00864,0.01388,0.02063,0.02106,0.02374,0.04196,0.03675,0.0343,0.06308,0.06786,0.11398,0.12813,0.15903,0.19899,0.19057,0.26918,0.27777,0.346,0.38468,0.45339,0.47692
NA,2018,"Tottori","Jul",64,"GmJMC064","C2",81,0,0.01057,0.01262,0.01835,0.0158,0.01697,0.01333,0.02775,0.03619,0.03771,0.05086,0.06828,0.05711,0.06424,0.07863,0.10859,0.15585,0.18092,0.25489,0.27209,0.23433,0.32523,0.31907,0.41102,0.42623,0.47024,0.50091
NA,2018,"Tottori","Jul",40,"GmJMC040","C2",82,0,0.01185,0.01577,0.02038,0.02187,0.01679,0.01703,0.03425,0.0485,0.05494,0.06342,0.09218,0.08543,0.08788,0.13692,0.13177,0.21887,0.24819,0.30754,0.3529,0.3061,0.41861,0.41304,0.50617,0.41993,0.51284,0.54537
NA,2018,"Tottori","Jul",73,"GmWMC073","C2",83,0,0.01445,0.0205,0.02501,0.02565,0.02396,0.02519,0.04349,0.05464,0.06417,0.08062,0.1027,0.10855,0.11259,0.16887,0.16447,0.24147,0.24304,0.30765,0.3345,0.3167,0.39539,0.40015,0.4347,0.35254,0.39389,0.43358
NA,2018,"Tottori","Jul",6,"GmWMC006","C2",84,0,0.0132,0.02059,0.02771,0.02755,0.02457,0.02298,0.05464,0.05677,0.06511,0.08815,0.10136,0.1041,0.12091,0.19358,0.19917,0.30201,0.32809,0.38234,0.39282,0.33243,0.44904,0.42365,0.44706,0.39882,0.45134,0.50169
NA,2018,"Tottori","Jul",91,"GmJMC091","C2",85,0,0.02872,0.0343,0.04208,0.04437,0.04212,0.05221,0.08696,0.10009,0.12413,0.14553,0.17666,0.17874,0.18765,0.24269,0.26594,0.33085,0.36294,0.44427,0.43913,0.38857,0.52682,0.5239,0.62186,0.52748,0.6411,0.67092
NA,2018,"Tottori","Jul",16,"GmJMC016","C2",86,0,0.01189,0.01319,0.01859,0.01953,0.01588,0.01715,0.04016,0.04744,0.0592,0.06518,0.08207,0.08252,0.08984,0.14101,0.1541,0.20733,0.22864,0.28252,0.3203,0.29704,0.37795,0.37029,0.4325,0.39579,0.4296,0.46122
NA,2018,"Tottori","Jul",113,"GmWMC113","C2",87,0,0.00675,0.00721,0.01046,0.00808,0.00933,0.0122,0.02052,0.03316,0.03705,0.05824,0.07659,0.06954,0.07958,0.10021,0.13587,0.18944,0.21333,0.29396,0.30059,0.27414,0.36754,0.34282,0.39758,0.38684,0.44414,0.4596
NA,2018,"Tottori","Jul",11,"GmWMC011","C2",88,0,0.01708,0.02377,0.0294,0.02775,0.02891,0.02994,0.0443,0.05004,0.05585,0.08226,0.11001,0.09435,0.11939,0.15966,0.18184,0.25684,0.26863,0.35208,0.35703,0.30572,0.4083,0.38998,0.46083,0.36539,0.48249,0.48902
NA,2018,"Tottori","Jul",52,"GmJMC052","C2",89,0,0.00149,0.00482,0.00643,0.00666,0.00583,0.00631,0.01275,0.01863,0.02283,0.02007,0.03837,0.037,0.03356,0.03845,0.05446,0.09873,0.11865,0.11083,0.15157,0.13621,0.23104,0.23593,0.31506,0.2947,0.31289,0.34679
NA,2018,"Tottori","Jul",84,"GmWMC084","C2",90,0,0.01006,0.01252,0.01644,0.01555,0.01789,0.01969,0.03143,0.04529,0.0489,0.06932,0.08463,0.08483,0.09783,0.13137,0.13411,0.18997,0.20146,0.25954,0.25925,0.23651,0.31492,0.30961,0.37634,0.38667,0.45163,0.48101
NA,2018,"Tottori","Jul",191,"GmWMC191","C2",91,0,0.00544,0.00772,0.00997,0.00845,0.01042,0.01312,0.02479,0.03792,0.04114,0.05959,0.08921,0.08364,0.08913,0.13498,0.14678,0.19648,0.2219,0.28611,0.30971,0.28825,0.36275,0.37144,0.45742,0.43509,0.5462,0.61678
NA,2018,"Tottori","Jul",115,"GmWMC115","C2",92,0,0.01605,0.01816,0.02414,0.02315,0.02361,0.02944,0.05055,0.06514,0.07221,0.08844,0.10745,0.11086,0.11333,0.16592,0.18109,0.24209,0.25054,0.36129,0.36671,0.33922,0.47486,0.4506,0.54419,0.53941,0.63624,0.67809
