,Date,Temp.avg,Temp.min,Temp.max,Rainfall.mm,Radiation.MJ,SunlightHour
154,2018/5/1,18.5,13.8,24.9,0,24.91,11
155,2018/5/2,19.2,14.1,24,18,4.68,1.9
156,2018/5/3,16.2,9.9,20.4,0,17.76,8.6
157,2018/5/4,14.8,8.3,20.2,0.5,24.37,11.9
158,2018/5/5,17.9,11.8,23.1,0,26.73,11.5
159,2018/5/6,18.8,13.5,27.2,12,10.58,5.6
160,2018/5/7,16.1,14.4,17.5,27.5,2.75,0.9
161,2018/5/8,13.8,12.7,14.9,0.5,2.66,0
162,2018/5/9,13.3,11.5,16.9,0.5,16.57,9.5
163,2018/5/10,12.5,7.3,16.7,0,26.08,10.8
164,2018/5/11,15,8.4,24,0,27.26,12.7
165,2018/5/12,18.9,11.6,26.3,0,21.8,10.7
166,2018/5/13,17.7,14.7,19.7,37,2.23,0
167,2018/5/14,16.4,12.2,19.6,0,22.46,9.7
168,2018/5/15,20.4,13.4,27.2,0,26.25,12
169,2018/5/16,24.6,17.3,31.3,0,16.16,10.4
170,2018/5/17,26,21.5,32,0,20.28,10.7
171,2018/5/18,22.6,14.1,30.6,26,10.64,7.8
172,2018/5/19,13.5,10.3,16,1,8.8,6.5
173,2018/5/20,13.9,8.5,17.9,0,23.66,9.2
174,2018/5/21,17,9.6,21.7,0,29.52,13.1
175,2018/5/22,20.6,13.4,28.3,0,28.39,12.9
176,2018/5/23,18.3,16.1,21.2,12.5,5.08,3.6
177,2018/5/24,17.4,13.5,21.6,0,29.32,12.4
178,2018/5/25,20.3,15.2,28.9,0,28.59,11.4
179,2018/5/26,18.7,13.1,24.2,0,22.78,12
180,2018/5/27,18.9,11.1,24.2,0,20.92,12.2
181,2018/5/28,22.6,19.8,28.7,0,12.94,10.3
182,2018/5/29,22.4,18.9,26.3,0.5,9.79,11
183,2018/5/30,23,20.6,27,0,12.78,6.7
184,2018/5/31,NA,NA,NA,NA,10.38,6.4
185,2018/6/1,17.8,13,21.6,0,27.44,11.8
186,2018/6/2,18.6,13,23.6,0,29.78,13.4
187,2018/6/3,21.8,16.3,30,0,26.36,13.1
188,2018/6/4,21.9,17.4,28.7,0,26.72,13.1
189,2018/6/5,21.1,17,26,3,7.92,6.9
190,2018/6/6,18.9,17.2,20.9,21.5,5.21,4.8
191,2018/6/7,21.1,16,25,0,29.51,12.8
192,2018/6/8,22.4,19.1,26.3,11,7.16,5.8
193,2018/6/9,20.5,18.7,23,0,24.2,10.2
194,2018/6/10,19.5,17.2,21.9,0.5,9.81,9.9
195,2018/6/11,18.9,17.4,20.6,17,3.61,2.4
196,2018/6/12,17.7,15.9,19.2,8.5,4.5,1.1
197,2018/6/13,18.1,13.5,21.8,6.5,24.81,10.2
198,2018/6/14,17.4,13.8,20.8,0,21.86,9.5
199,2018/6/15,17.4,15.2,19,0,5.33,2.7
200,2018/6/16,17,11.4,20.6,0,24.12,12.9
201,2018/6/17,19.4,11.2,23.7,0,25.68,12.3
202,2018/6/18,22.7,18.8,27.1,0,25.8,11
203,2018/6/19,23.8,19,31,3,15.1,10
204,2018/6/20,21,19.6,24,9.5,9.03,5.9
205,2018/6/21,21.4,16.9,25.9,0,23.22,11.7
206,2018/6/22,21.7,16.4,28.1,0,24.98,12.8
207,2018/6/23,22.6,20.5,26.2,0,10.76,7.3
208,2018/6/24,22.5,18.8,27.7,0,25.74,11.6
209,2018/6/25,23.6,17.3,29.1,0,26.68,12
210,2018/6/26,27.2,20,33.4,4,4.09,3.3
211,2018/6/27,28.4,24.1,30.4,2.5,10.26823223,NA
212,2018/6/28,25.2,22.2,29.7,37.5,10.41054802,NA
213,2018/6/29,26,22.3,28.3,6.5,11.58847484,NA
214,2018/6/30,24.3,21.2,27.4,8.5,10.24776022,NA
215,2018/7/1,28.5,21.5,33.8,0,22.84,10.8
216,2018/7/2,29.1,25.1,34.6,0,23.57,13
217,2018/7/3,27.8,25,30,0,5.55,5.6
218,2018/7/4,26.2,23,29.3,0,4.02,5.3
219,2018/7/5,22.1,21.2,23.3,110.5,1.42,0
220,2018/7/6,21.6,20.5,22.5,101.5,2.55,2.3
221,2018/7/7,20.7,19.5,22.3,104.5,2.9,5.3
222,2018/7/8,23.2,19.6,28.8,0.5,13.56,11.1
223,2018/7/9,27.3,22.6,32.6,4.5,25.22,13
224,2018/7/10,28.1,23.6,35.5,0,27.45,12.4
225,2018/7/11,26.8,23.3,32.3,0,18.94,11.5
226,2018/7/12,26.3,23,29.8,0,10.94,9.8
227,2018/7/13,26.6,23.5,30.8,1,22.99,12.7
228,2018/7/14,26.2,22.6,29.7,0,28.11,13.4
229,2018/7/15,27.6,23.7,32.1,0,26.9,12.3
